"CDN","Name"
2022,"2022_tel_pro"
2024,"2024_xfer_from_pn"
2066,"2066_main_dispatch"
2168,"2168_techs"
2240,"2240_eph"
2311,"2311_core_super_store"
2322,"2322_plant_emergency"
2544,"2544_tsr"
2721,"2721_vip_customer"
2735,"2735_pwireless_wnp"
7702,"7702_p_tsr_xfer_2_b"
7704,"7704_xfer_from_bcs"
7707,"7707_dbb"
7708,"7708_p_csr_xfer_2_b"
7721,"7721_inet_assist_xfer_2p"
7733,"7733_tech_support"
7740,"7740_install_upgrades"
7741,"7741_xfer_to_p_tsr"
7743,"7743_xfer_from_ivr"
7744,"7744_disconnect"
7746,"7746_route_to_pn"
7751,"7751_tsr_l2"
7752,"7752_telephone_prov"
7754,"7754_eph_dispatch"
7758,"7758_bilingual"
7760,"7760_main_dispatch"
7763,"7763_hs"
7765,"7765_commercial"
7766,"7766_cc_xfer_to_comm"
7780,"7780_csr_billing"
3050,"3050_cdn"
